reaction_id,reaction_name,subsystem,reaction_layer,source_model,active_group_count,active_groups,n_genes,annotated_genes,ensembl_gene_ids,civicmine_biomarker_rows,civicmine_citation_count,civicmine_prognostic_rows,civicmine_diagnostic_rows,civicmine_predictive_rows,civicmine_predictive_drug_rows,civicmine_unique_drugs,civicmine_unique_cancers,dgidb_interactions,dgidb_unique_drugs,dgidb_approved_drugs,dgidb_publication_pmids,dgidb_max_interaction_score,drugbank_source_interactions,drugbank_source_unique_drugs,opentargets_cancer_assoc_count_top200,opentargets_cancer_max_score_top200,opentargets_cancer_unique_clinical_drugs,opentargets_unique_clinical_drugs,opentargets_cancer_clinical_candidate_rows,matched_civicmine_biomarker_rows,matched_civicmine_predictive_drug_rows,matched_civicmine_active_groups,matched_opentargets_cancer_assoc_count_top200,matched_opentargets_cancer_max_score_top200,matched_opentargets_cancer_clinical_candidate_rows,matched_opentargets_cancer_unique_clinical_drugs,matched_opentargets_active_groups,matched_civicmine_biomarker_rows_present,matched_civicmine_predictive_drug_rows_present,matched_opentargets_cancer_max_score_top200_present,matched_opentargets_cancer_unique_clinical_drugs_present,dgidb_unique_drugs_present,dgidb_approved_drugs_present,drugbank_source_unique_drugs_present,cancer_matched_evidence_score,drug_interaction_evidence_score,total_binary_annotation_score,display_label,rank_score
MAR04819,(R)-3-ureidoisobutyrate amidohydrolase,Pyrimidine metabolism,Cancer-specific,XGBoost,1,THCA,1,UPB1,ENSG00000100024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,(R)-3-ureidoisobutyrate amido... | UPB1,0.05
MAR06627,MAR06627,Pyrimidine metabolism,Cancer-specific,GNN,1,ACC,2,"PKLR, PKM","ENSG00000067225, ENSG00000143627",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"MAR06627 | PKLR, PKM",0.05
MAR07142,NAD+ glycohydrolase,Nicotinate and nicotinamide metabolism,Cancer-specific,XGBoost,1,ACC,2,"BST1, CD38","ENSG00000004468, ENSG00000109743",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"NAD+ glycohydrolase | BST1, CD38",0.05
MAR07144,ADP-ribose ribophosphohydrolase,Purine metabolism,Cancer-specific,XGBoost,1,ACC,3,"ADPRM, NUDT5, NUDT9","ENSG00000165609, ENSG00000170222, ENSG00000170502",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"ADP-ribose ribophosphohydrolase | ADPRM, NUDT5, N...",0.05
MAR00455,Carnitine Transferase,Fatty acid oxidation,Cancer-specific,XGBoost,0,,1,CPT2,ENSG00000157184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,Carnitine Transferase | CPT,0.0
MAR02146,(S)-Methylmalonyl Coenzyme A Hydrolase,"Valine, leucine, and isoleucine metabolism",Cancer-specific,GNN,0,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,(S)-Methylmalonyl Coenzyme A... | gene not mapped,0.0
MAR03116,MAR03116,Beta oxidation of even-chain fatty acids (mitochondrial),Cancer-specific,XGBoost,0,,1,HADHA,ENSG00000084754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR03116 | HADHA,0.0
MAR03117,MAR03117,Beta oxidation of even-chain fatty acids (mitochondrial),Cancer-specific,XGBoost,0,,3,"HADH, HADHA, HSD17B10","ENSG00000072506, ENSG00000084754, ENSG00000138796",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"MAR03117 | HADH, HADHA, HS...",0.0
MAR04377,"D-Fructose-1,6-bisphosphate 1-phosphohydrolase",Glycolysis / Gluconeogenesis,Cancer-specific,GNN,0,,2,"FBP1, FBP2","ENSG00000130957, ENSG00000165140",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,"D-Fructose-1,6-bisphosphate 1... | FBP1, FBP2",0.0
MAR07800,MAR07800,Nucleotide metabolism,Cancer-specific,GNN,0,,1,AK5,ENSG00000154027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,MAR07800 | AK5,0.0
MAR10037,cholesterol-ester pool formation and breakdown,Pool reactions,Cancer-specific,GNN,0,,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,cholesterol-ester pool format... | gene not mapped,0.0
